model,step,iteration,best_score,parsed_candidates,accepted_candidates,mean_score,max_score,portfolios_count,epoch
qwen/qwen3.5-35b-a3b,99,42,-0.0084953113145306,0.0,0.0,,,,42
qwen/qwen3.5-35b-a3b,99,43,-0.0084953113145306,0.0,0.0,,,,43
qwen/qwen3.5-35b-a3b,99,44,-0.0084953113145306,0.0,0.0,,,,44
qwen/qwen3.5-35b-a3b,99,45,-0.0084953113145306,0.0,0.0,,,,45
qwen/qwen3.5-35b-a3b,99,46,-0.0084953113145306,0.0,0.0,,,,46
qwen/qwen3.5-35b-a3b,99,47,-0.0084953113145306,0.0,0.0,,,,47
qwen/qwen3.5-35b-a3b,99,48,-0.0084953113145306,0.0,0.0,,,,48
qwen/qwen3.5-35b-a3b,99,49,-0.0084953113145306,0.0,0.0,,,,49
mistralai/mistral-small-2603,99,-1,,,,-0.3131809363532813,-0.0084953113145306,10.0,-1
mistralai/mistral-small-2603,99,0,-0.0084953113145306,0.0,0.0,,,,0
mistralai/mistral-small-2603,99,1,-0.0084953113145306,0.0,0.0,,,,1
mistralai/mistral-small-2603,99,2,-0.0084953113145306,0.0,0.0,,,,2
mistralai/mistral-small-2603,99,3,-0.0084953113145306,0.0,0.0,,,,3
mistralai/mistral-small-2603,99,4,-0.0084953113145306,0.0,0.0,,,,4
mistralai/mistral-small-2603,99,5,-0.0084953113145306,0.0,0.0,,,,5
mistralai/mistral-small-2603,99,6,-0.0084953113145306,0.0,0.0,,,,6
mistralai/mistral-small-2603,99,7,-0.0084953113145306,0.0,0.0,,,,7
mistralai/mistral-small-2603,99,8,-0.0084953113145306,0.0,0.0,,,,8
mistralai/mistral-small-2603,99,9,-0.0084953113145306,0.0,0.0,,,,9
mistralai/mistral-small-2603,99,10,-0.0084953113145306,0.0,0.0,,,,10
mistralai/mistral-small-2603,99,11,-0.0084953113145306,0.0,0.0,,,,11
mistralai/mistral-small-2603,99,12,-0.0084953113145306,0.0,0.0,,,,12
mistralai/mistral-small-2603,99,13,-0.0084953113145306,0.0,0.0,,,,13
mistralai/mistral-small-2603,99,14,-0.0084953113145306,0.0,0.0,,,,14
mistralai/mistral-small-2603,99,15,-0.0084953113145306,0.0,0.0,,,,15
mistralai/mistral-small-2603,99,16,-0.0084953113145306,0.0,0.0,,,,16
mistralai/mistral-small-2603,99,17,-0.0084953113145306,0.0,0.0,,,,17
mistralai/mistral-small-2603,99,18,-0.0084953113145306,0.0,0.0,,,,18
mistralai/mistral-small-2603,99,19,-0.0084953113145306,0.0,0.0,,,,19
mistralai/mistral-small-2603,99,20,-0.0084953113145306,0.0,0.0,,,,20
mistralai/mistral-small-2603,99,21,-0.0009111786006421,3.0,3.0,-0.10906140079281783,-0.0009111786006421,3.0,21
mistralai/mistral-small-2603,99,22,-0.0009111786006421,3.0,3.0,-0.11167403337687441,-0.0240812721088028,3.0,22
mistralai/mistral-small-2603,99,23,-0.0009111786006421,3.0,3.0,-0.05154297710082753,-0.0233281943552246,3.0,23
mistralai/mistral-small-2603,99,24,0.0366748279117497,3.0,3.0,0.0008608705678287651,0.0366748279117497,3.0,24
mistralai/mistral-small-2603,99,25,0.0476609956469458,3.0,3.0,-0.016597074020600334,0.0476609956469458,3.0,25
mistralai/mistral-small-2603,99,26,0.0622212338162415,3.0,3.0,-0.0173698704683012,0.0622212338162415,3.0,26
mistralai/mistral-small-2603,99,27,0.0622212338162415,3.0,3.0,-0.03187821642357303,-0.0259758255919634,3.0,27
mistralai/mistral-small-2603,99,28,0.0622212338162415,3.0,3.0,-0.021571736506130406,0.0619742408786078,3.0,28
mistralai/mistral-small-2603,99,29,0.0622212338162415,3.0,3.0,-0.0345608156071634,-0.0057980334108766,3.0,29
mistralai/mistral-small-2603,99,30,0.0622212338162415,3.0,3.0,-0.01613696436612577,0.0486754783801635,3.0,30
mistralai/mistral-small-2603,99,31,0.0622212338162415,3.0,3.0,0.0189779371148275,0.0601580188768107,3.0,31
mistralai/mistral-small-2603,99,32,0.0622212338162415,3.0,3.0,0.02811075980857253,0.0563950870389533,3.0,32
mistralai/mistral-small-2603,99,33,0.0622212338162415,3.0,3.0,0.007628591893570201,0.033466142293393,3.0,33
mistralai/mistral-small-2603,99,34,0.0622212338162415,3.0,3.0,0.007028148780984,0.0489865113976356,3.0,34
mistralai/mistral-small-2603,99,35,0.0622987440462274,3.0,3.0,-0.07307567541069393,0.0622987440462274,3.0,35
mistralai/mistral-small-2603,99,36,0.0818440779242149,3.0,3.0,0.05406957063035673,0.0818440779242149,3.0,36
mistralai/mistral-small-2603,99,37,0.0818440779242149,3.0,3.0,-0.0320531903216436,0.0358074901007236,3.0,37
mistralai/mistral-small-2603,99,38,0.0818440779242149,3.0,3.0,0.033416704398775365,0.0474649135146723,3.0,38
mistralai/mistral-small-2603,99,39,0.0818440779242149,3.0,3.0,0.014146921059496565,0.0594210198272422,3.0,39
mistralai/mistral-small-2603,99,40,0.0818440779242149,3.0,3.0,0.05686951004441517,0.0750646930353703,3.0,40
mistralai/mistral-small-2603,99,41,0.0976125903211084,3.0,3.0,0.08302618928625356,0.0976125903211084,3.0,41
mistralai/mistral-small-2603,99,42,0.0976125903211084,3.0,3.0,0.07942956455134646,0.0902355026701535,3.0,42
mistralai/mistral-small-2603,99,43,0.0976125903211084,3.0,3.0,0.03934954274926423,0.0865388925193763,3.0,43
mistralai/mistral-small-2603,99,44,0.1027037422822962,3.0,3.0,0.07340618793011414,0.1027037422822962,3.0,44
mistralai/mistral-small-2603,99,45,0.1027037422822962,3.0,3.0,0.058409977143174835,0.0965919947386993,3.0,45
mistralai/mistral-small-2603,99,46,0.1095840419692899,3.0,3.0,0.08740559525442322,0.1095840419692899,3.0,46
mistralai/mistral-small-2603,99,47,0.1104140366248699,3.0,3.0,0.09715598829604831,0.1104140366248699,3.0,47
mistralai/mistral-small-2603,99,48,0.1240677708019698,3.0,3.0,0.09024736855247638,0.1240677708019698,3.0,48
mistralai/mistral-small-2603,99,49,0.1240677708019698,3.0,3.0,0.08502234203189697,0.1125819284849146,3.0,49
